ari,macro_f1,weighted_f1,runtime,n_spots,n_clusters_pred,n_clusters_true,sample_id,dataset,method,seed,l,res,peak_ram_gb,error,assignment,n_gt_clusters
0.4403135462497117,0.5291363555997259,0.6167993513290575,23.30761027336121,4213.0,9.0,7.0,151507,DLPFC,SpaGCN,42.0,62.11884927272796,1.05,6.637897491455078,,,
0.2937181343060818,0.4444373163992409,0.5037252699231624,96.5594654083252,4213.0,16.0,7.0,151507,DLPFC,STAGATE,42.0,,,7.876869201660156,,,
0.3186266054169102,0.4639936235345507,0.5085494237662999,8.634649515151978,4213.0,7.0,7.0,151507,DLPFC,Leiden_PCA,42.0,,0.98453125,8.011810302734375,,,
0.336276994962597,0.4390582841168903,0.5382943643010768,4.897424936294556,4375.0,8.0,7.0,151508,DLPFC,SpaGCN,42.0,62.10835896015167,1.05,9.256969451904297,,,
0.269019264155229,0.4063055644996474,0.4533921168751666,97.72900223731996,4375.0,14.0,7.0,151508,DLPFC,STAGATE,42.0,,,9.256969451904297,,,
0.2877375632520822,0.461409688440186,0.4996323731432918,1.7776122093200684,4375.0,7.0,7.0,151508,DLPFC,Leiden_PCA,42.0,,1.0,9.256969451904297,,,
0.2996540511684899,0.4849959943380624,0.5190646393792746,5.52937650680542,4783.0,10.0,7.0,151509,DLPFC,SpaGCN,42.0,62.62238427639008,1.05,9.256969451904297,,,
0.216113741697245,0.3659426432487863,0.4280711226372476,106.48453664779665,4783.0,16.0,7.0,151509,DLPFC,STAGATE,42.0,,,9.256969451904297,,,
0.2539860117399858,0.4775976011549711,0.4924290022011001,1.4055955410003662,4783.0,7.0,7.0,151509,DLPFC,Leiden_PCA,42.0,,1.0,9.256969451904297,,,
0.294581441692517,0.3989508382066879,0.5145994918121322,5.584437131881714,4587.0,8.0,7.0,151510,DLPFC,SpaGCN,42.0,62.430220823287954,1.05,9.51089859008789,,,
0.2115762853853424,0.4127743983422444,0.4181052161086329,102.31369638442992,4587.0,14.0,7.0,151510,DLPFC,STAGATE,42.0,,,9.51089859008789,,,
0.3081374652688293,0.4649774030646418,0.5101359469411477,6.959084272384644,4587.0,7.0,7.0,151510,DLPFC,Leiden_PCA,42.0,,1.1875,9.51089859008789,,,
0.2132262077701233,0.388028608777017,0.4739124952843375,4.067451477050781,3634.0,7.0,5.0,151669,DLPFC,SpaGCN,42.0,62.2599916601181,0.75,9.51089859008789,,,
0.1442146244227645,0.4481425055978269,0.445302383819792,83.21969294548035,3634.0,13.0,5.0,151669,DLPFC,STAGATE,42.0,,,9.51089859008789,,,
0.2653559893767453,0.3974608693707499,0.5448970635928788,1.5141911506652832,3634.0,5.0,5.0,151669,DLPFC,Leiden_PCA,42.0,,0.505,9.51089859008789,,,
0.2641315071488809,0.4015826569040188,0.5804706154555082,3.830288410186768,3480.0,7.0,5.0,151670,DLPFC,SpaGCN,42.0,62.18322164535522,0.75,9.51089859008789,,,
0.1261214812268855,0.3957789761827892,0.3925277459845808,78.75646471977234,3480.0,11.0,5.0,151670,DLPFC,STAGATE,42.0,,,9.51089859008789,,,
0.2038891416809031,0.3623277697736894,0.4873652209344784,3.444723129272461,3480.0,5.0,5.0,151670,DLPFC,Leiden_PCA,42.0,,0.6287499999999999,9.51089859008789,,,
0.359305530896521,0.4974797953194472,0.6060324559775448,5.596294641494751,4089.0,7.0,5.0,151671,DLPFC,SpaGCN,42.0,62.13553840637206,0.75,10.353500366210938,,,
0.2506435505589817,0.4290880904636513,0.4966976372286367,91.58450365066528,4089.0,14.0,5.0,151671,DLPFC,STAGATE,42.0,,,10.353500366210938,,,
0.3314797556827897,0.5187814351646125,0.5969907113293194,2.2007157802581787,4089.0,5.0,5.0,151671,DLPFC,Leiden_PCA,42.0,,0.505,10.353500366210938,,,
0.3866886570596406,0.5376467945141555,0.6558149465145955,4.388237953186035,3885.0,6.0,5.0,151672,DLPFC,SpaGCN,42.0,62.18036065101623,0.75,10.353500366210938,,,
0.3433077677202697,0.492638539888443,0.590808123073516,89.05306625366211,3885.0,11.0,5.0,151672,DLPFC,STAGATE,42.0,,,10.353500366210938,,,
0.2987947590491424,0.559014842288053,0.6024790028879609,6.291894674301148,3885.0,5.0,5.0,151672,DLPFC,Leiden_PCA,42.0,,0.5823437499999999,10.353500366210938,,,
0.3759140467670806,0.486691891693503,0.5505605348207697,4.056765556335449,3608.0,11.0,7.0,151673,DLPFC,SpaGCN,42.0,62.24282569408416,1.05,10.65457534790039,,,
0.320380323326552,0.4799747898554514,0.5368101912635665,81.339674949646,3608.0,13.0,7.0,151673,DLPFC,STAGATE,42.0,,,10.65457534790039,,,
0.2975178435561834,0.4468443267563292,0.5024766187360103,1.8826782703399656,3608.0,7.0,7.0,151673,DLPFC,Leiden_PCA,42.0,,0.7525,10.65457534790039,,,
0.2696143049870093,0.3956051181688736,0.4721343773163457,4.458393096923828,3635.0,10.0,7.0,151674,DLPFC,SpaGCN,42.0,62.25522333621978,1.05,10.65457534790039,,,
0.2919642493408163,0.4031246854705495,0.4786772093785409,80.078125,3635.0,14.0,7.0,151674,DLPFC,STAGATE,42.0,,,10.65457534790039,,,
0.3005447391102827,0.3816683220222789,0.4517854823826183,2.032963752746582,3635.0,7.0,7.0,151674,DLPFC,Leiden_PCA,42.0,,0.7525,10.65457534790039,,,
0.3818383272231793,0.4660342872285373,0.5602247603071746,4.045591592788696,3563.0,9.0,7.0,151675,DLPFC,SpaGCN,42.0,62.29289309501648,1.05,10.65457534790039,,,
0.3080728785467043,0.4568236743678917,0.5084890198934261,78.36672806739807,3563.0,13.0,7.0,151675,DLPFC,STAGATE,42.0,,,10.65457534790039,,,
0.3283450054068155,0.4450238460493863,0.5105461996972337,1.062983751296997,3563.0,7.0,7.0,151675,DLPFC,Leiden_PCA,42.0,,1.0,10.65457534790039,,,
0.3115442230273149,0.3906875685255954,0.4716814665199643,3.6686644554138175,3428.0,9.0,7.0,151676,DLPFC,SpaGCN,42.0,62.25426967144011,1.05,10.65457534790039,,,
0.3201310962310771,0.4741771028546763,0.5393729379694358,76.8364851474762,3428.0,11.0,7.0,151676,DLPFC,STAGATE,42.0,,,10.65457534790039,,,
0.2787485654291267,0.403766278260364,0.4370839337389615,6.252586603164673,3428.0,7.0,7.0,151676,DLPFC,Leiden_PCA,42.0,,1.046875,10.65457534790039,,,
0.1253742396908883,0.3232614656425305,0.5430557865382561,0.1056480407714843,345.0,6.0,6.0,A1,HER2+,SpaGCN,42.0,105.2764720439911,0.8999999999999999,10.65457534790039,,,
0.0467219502417871,0.1962543148767638,0.3837153631408289,10.482904434204102,345.0,8.0,6.0,A1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.0507976782542412,0.2591305408278473,0.4170266740705597,0.0437872409820556,345.0,6.0,6.0,A1,HER2+,Leiden_PCA,42.0,,1.0,10.65457534790039,,,
0.2480479593617517,0.4225597205812737,0.5055540038360945,0.0841090679168701,287.0,4.0,5.0,B1,HER2+,SpaGCN,42.0,142.15850373268125,0.75,10.65457534790039,,,
0.2779344512801624,0.3800480298510389,0.5020121221832607,8.852073907852173,287.0,7.0,5.0,B1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.2309212552048965,0.416150149586682,0.4892495684234715,0.0343232154846191,287.0,5.0,5.0,B1,HER2+,Leiden_PCA,42.0,,1.0,10.65457534790039,,,
-0.0455840686680488,0.199631310266591,0.4394703385686623,0.0645244121551513,174.0,3.0,4.0,C1,HER2+,SpaGCN,42.0,141.1581093788147,0.6,10.65457534790039,,,
0.1115905725448149,0.3080433182131237,0.4783148514089311,6.564313173294067,174.0,6.0,4.0,C1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
-0.0428448182696294,0.2062698412698412,0.3643021346469622,0.0497710704803466,174.0,4.0,4.0,C1,HER2+,Leiden_PCA,42.0,,0.7525,10.65457534790039,,,
0.2203444815182035,0.4224364524707774,0.5819060075016463,0.0962257385253906,306.0,4.0,4.0,D1,HER2+,SpaGCN,42.0,140.34749431610106,0.6,10.65457534790039,,,
0.1549147662398598,0.2800191110666236,0.4229818687355172,9.652894258499146,306.0,8.0,4.0,D1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.1898062067625404,0.385833717928441,0.541703799092908,0.1522371768951416,306.0,4.0,4.0,D1,HER2+,Leiden_PCA,42.0,,0.6287499999999999,10.65457534790039,,,
0.0701470442745166,0.2802845100105374,0.4528082999588915,0.2055215835571289,587.0,5.0,4.0,E1,HER2+,SpaGCN,42.0,140.69176730155942,0.6,10.65457534790039,,,
0.1024487293512742,0.3026781651601795,0.3763743218503431,14.845582723617554,587.0,9.0,4.0,E1,HER2+,STAGATE,42.0,,,10.65457534790039,,,
0.0582931011114562,0.3035073457388368,0.4573250691776341,0.3954596519470215,587.0,4.0,4.0,E1,HER2+,Leiden_PCA,42.0,,0.6906249999999999,10.65457534790039,,,
0.025774034760006,0.2393698254197709,0.4109059735886122,0.239884614944458,691.0,4.0,4.0,F1,HER2+,SpaGCN,42.0,140.6231034374237,0.6,10.65457534790039,,,
